Garment,Split,Normalised Coverage,Max IoU,Colour
Trousers,Train,0.37991154427158697,0.32350230414746545,"[79, 73, 31]"
Trousers,Train,0.9995114965618165,0.9467162329615861,"[155, 49, 87]"
Trousers,Train,0.5873186892663378,0.5591054313099042,"[173, 145, 135]"
Trousers,Train,0.6583577991558499,0.6747572815533981,"[186, 127, 207]"
Trousers,Train,0.9996015255916294,0.9588336192109777,"[233, 229, 255]"
Trousers,Train,0.9993012980458499,0.9619433198380567,"[253, 255, 255]"
Trousers,Train,0.5836025456749225,0.5844444444444444,"[197, 123, 255]"
Trousers,Train,0.9993032283234017,0.9541108986615678,"[185, 198, 163]"
Trousers,Train,0.4585659280025023,0.45016722408026755,"[195, 179, 118]"
Trousers,Train,0.544296846116515,0.5427728613569321,"[104, 96, 97]"
Trousers,Train,0.4511047038392948,0.4587092297015961,"[185, 126, 206]"
Trousers,Train,1.0,0.9526627218934911,"[57, 57, 57]"
Trousers,Train,0.9998298698024854,0.9572836801752465,"[201, 255, 255]"
Trousers,Train,0.5680144559904071,0.5366568914956011,"[107, 103, 98]"
Trousers,Train,0.498087793194557,0.5017084282460137,"[151, 190, 162]"
Trousers,Train,0.478612433017501,0.48802190280629704,"[167, 178, 147]"
Trousers,Train,0.4433339782160643,0.44525547445255476,"[172, 192, 192]"
Trousers,Train,0.9994261536100238,0.9535304767652384,"[59, 55, 58]"
Trousers,Train,0.46418793333614033,0.4561290322580645,"[171, 183, 151]"
Trousers,Train,0.4062060540903764,0.4079861111111111,"[116, 65, 143]"
Trousers,Train,0.9995145480294746,0.9640427599611273,"[117, 109, 109]"
Trousers,Train,1.0,0.9518518518518518,"[255, 188, 255]"
Trousers,Train,0.49294813410247923,0.49044585987261147,"[104, 255, 250]"
Trousers,Train,0.5332548023321153,0.5320648343904157,"[253, 251, 252]"
Trousers,Train,1.0,0.9826489300173511,"[107, 71, 187]"
Trousers,Train,0.5039712079395497,0.4865794907088782,"[156, 141, 151]"
Trousers,Train,0.9994654790709927,0.9715817694369974,"[229, 171, 228]"
Trousers,Train,0.5576303872418873,0.5327433628318584,"[112, 108, 103]"
Trousers,Train,0.6273024371929029,0.5947456679709335,"[179, 200, 200]"
Trousers,Train,0.5949757647732336,0.6011994002998501,"[250, 214, 240]"
Trousers,Train,0.727995691402297,0.6038592508513053,"[192, 194, 186]"
Trousers,Train,0.600532100408668,0.586046511627907,"[255, 81, 206]"
Trousers,Train,0.4302365858534803,0.42340686274509803,"[51, 47, 50]"
Trousers,Train,0.9998583426110741,0.972432804962095,"[196, 134, 218]"
Trousers,Train,0.4411107003445773,0.41487603305785126,"[253, 149, 127]"
Trousers,Train,0.6062699680408602,0.5973793924955331,"[237, 254, 237]"
Trousers,Train,0.9996102545333372,0.9587628865979382,"[255, 164, 139]"
Trousers,Train,0.9999174646418411,0.9694100509832484,"[255, 255, 253]"
Trousers,Train,0.5037109483276367,0.48696383515559294,"[67, 21, 83]"
Trousers,Train,0.493978671332106,0.47281612706169823,"[241, 238, 239]"
Trousers,Train,0.5792292676776667,0.5508021390374331,"[138, 124, 140]"
Trousers,Train,0.45505426150754347,0.45454545454545453,"[244, 170, 252]"
Trousers,Train,0.44426109512342465,0.43149946062567424,"[214, 160, 214]"
Trousers,Train,0.998346051868984,0.9535573122529645,"[96, 95, 95]"
Trousers,Train,1.0,0.9738260200153964,"[255, 255, 101]"
Trousers,Train,1.0,0.9407281964436918,"[163, 128, 164]"
Trousers,Train,0.5788271438146548,0.5761670761670762,"[144, 159, 186]"
