Model,Total | SR,Total | IoU,Total | Last_SR,Total | NC,Total | NI,Canon-Longsleeve | IoU,Dress | IoU,Longsleeve | IoU,Skirt | IoU,Trousers | IoU,Canon-Longsleeve | Last_SR,Dress | Last_SR,Longsleeve | Last_SR,Skirt | Last_SR,Trousers | Last_SR,Canon-Longsleeve | NC,Dress | NC,Longsleeve | NC,Skirt | NC,Trousers | NC,Canon-Longsleeve | NI,Dress | NI,Longsleeve | NI,Skirt | NI,Trousers | NI,Canon-Longsleeve | SR,Dress | SR,Longsleeve | SR,Skirt | SR,Trousers | SR
[all_sim] v102,0.6666666666666667,0.7319920000000001,0.5066666666666666,0.8829126666666667,0.733974,0.7112166666666667,0.7956366666666667,0.7049866666666668,0.80581,0.64231,0.3333333333333333,0.7666666666666667,0.4,0.7333333333333333,0.3,0.8811233333333333,0.91989,0.8927300000000001,0.8995099999999999,0.82131,0.7314733333333333,0.8053566666666667,0.7696333333333333,0.7661199999999998,0.5972866666666666,0.5333333333333333,0.9,0.6,0.9333333333333333,0.36666666666666664
[all_sim] v115_hindsight,0.6666666666666667,0.7320906666666667,0.42666666666666664,0.8952453333333332,0.756688,0.6990433333333335,0.77801,0.6938099999999998,0.7937266666666666,0.6958633333333334,0.2,0.6666666666666666,0.23333333333333334,0.7333333333333333,0.3,0.8693666666666666,0.9213233333333333,0.8884933333333334,0.9304966666666667,0.8665466666666667,0.7015799999999999,0.8169866666666667,0.74792,0.8329633333333334,0.68399,0.5666666666666667,0.7666666666666667,0.6,0.9333333333333333,0.4666666666666667
[all_sim] v119_hindsight,0.6666666666666667,0.7190740000000002,0.4533333333333333,0.876338,0.7201093333333334,0.6563966666666669,0.768586666666667,0.7324966666666667,0.7344166666666666,0.7034733333333334,0.23333333333333334,0.6,0.5,0.5666666666666667,0.36666666666666664,0.8126733333333332,0.9122733333333334,0.8962333333333333,0.8916433333333333,0.8688666666666667,0.57846,0.80434,0.77633,0.7430799999999999,0.6983366666666666,0.3333333333333333,0.8333333333333334,0.7,0.8666666666666667,0.6
[mix] v143_hindsight,0.6533333333333333,0.7362133333333333,0.5133333333333334,0.87385,0.7136486666666666,0.6935433333333333,0.7778600000000001,0.6944466666666667,0.8198066666666667,0.69541,0.36666666666666664,0.7,0.3,0.8333333333333334,0.36666666666666664,0.8286633333333333,0.9131666666666668,0.8773466666666666,0.9063833333333334,0.84369,0.6126499999999999,0.7996566666666668,0.7331766666666667,0.77899,0.6437700000000001,0.5,0.7666666666666667,0.5666666666666667,1.0,0.43333333333333335
[all_sim] v118_hindsight,0.6466666666666667,0.7223326666666667,0.4666666666666667,0.8790573333333332,0.7249940000000001,0.6597233333333334,0.76084,0.69584,0.79747,0.6977900000000001,0.36666666666666664,0.6333333333333333,0.23333333333333334,0.7333333333333333,0.36666666666666664,0.8421433333333332,0.9012133333333332,0.8953366666666667,0.9151933333333334,0.8414,0.6532266666666666,0.7791200000000001,0.7597500000000001,0.8011466666666668,0.6317266666666669,0.43333333333333335,0.7666666666666667,0.5666666666666667,0.9666666666666667,0.5
[all_sim] v106_hindsight,0.6466666666666666,0.7128173333333334,0.2866666666666666,0.8772326666666667,0.7298386666666666,0.66414,0.7750100000000002,0.66668,0.7952933333333332,0.6629633333333333,0.23333333333333334,0.36666666666666664,0.16666666666666666,0.4,0.26666666666666666,0.8398733333333334,0.9212966666666665,0.8742933333333334,0.9137533333333335,0.8369466666666666,0.6541066666666668,0.8263099999999999,0.7341066666666666,0.8085766666666667,0.6260933333333333,0.5666666666666667,0.7333333333333333,0.5,0.9,0.5333333333333333
[all_sim] v123_hindsight,0.64,0.73056,0.47333333333333333,0.8781046666666666,0.7178486666666668,0.6974633333333332,0.7808633333333334,0.6978899999999999,0.7891866666666668,0.6873966666666667,0.26666666666666666,0.7,0.3,0.7,0.4,0.8441766666666667,0.9178466666666666,0.88427,0.8941366666666666,0.8500933333333334,0.6455533333333333,0.8118966666666668,0.7428633333333334,0.7490033333333332,0.6399266666666665,0.5333333333333333,0.8333333333333334,0.43333333333333335,0.8333333333333334,0.5666666666666667
[all_sim] v138_hindsight,0.6333333333333333,0.733732,0.48,0.8741213333333333,0.7140606666666666,0.6816300000000001,0.7980166666666667,0.6822966666666667,0.7958999999999999,0.7108166666666669,0.3,0.6666666666666666,0.3,0.7333333333333333,0.4,0.8214966666666667,0.92136,0.879,0.9068266666666668,0.8419233333333332,0.6124833333333334,0.8062966666666667,0.7259866666666667,0.78196,0.6435766666666667,0.4,0.8333333333333334,0.4,0.9,0.6333333333333333
[mix] v149_hindsight,0.6133333333333334,0.71578,0.43999999999999995,0.8562493333333334,0.669488,0.6311000000000001,0.7725400000000001,0.7010799999999999,0.7878099999999999,0.6863699999999999,0.16666666666666666,0.6666666666666666,0.26666666666666666,0.7333333333333333,0.36666666666666664,0.7725233333333333,0.9082833333333333,0.8746200000000001,0.8899199999999999,0.8359,0.48493333333333327,0.7844033333333333,0.7111833333333333,0.7378766666666667,0.6290433333333334,0.3,0.8,0.5666666666666667,0.9333333333333333,0.4666666666666667
[all_sim] v103_hindsight,0.6133333333333333,0.7347553333333333,0.32666666666666666,0.8953193333333334,0.764054,0.6433033333333333,0.7727633333333334,0.7232833333333334,0.8328166666666666,0.70161,0.13333333333333333,0.5,0.26666666666666666,0.5,0.23333333333333334,0.8340466666666669,0.9321999999999999,0.9000566666666666,0.9481666666666666,0.8621266666666666,0.6365466666666667,0.8469100000000002,0.7743733333333332,0.8792666666666666,0.6831733333333335,0.3,0.7333333333333333,0.5666666666666667,0.9666666666666667,0.5
